ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQualityRate,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
1,176391.7665,1002.49,1,2,354.22,44.61,8,106.01,26.79,94.32,1.36,3,6,4,No,Green,Yes,1,0,165208.5865,0
2,402358.3158,897.55,5,3,579.57,41.05,6,13.77,24.4,86.13,1.76,5,6,4,No,White,No,1,17,524019.6443,0
3,124287.4584,774.63,2,1,1114.67,49.1,8,22.59,8.74,99.9,1.84,6,6,6,Yes,Yellow,No,1,15,76449.7098,0
4,396428.1539,550,1,4,561.07,29.17,7,104.06,2.94,94.05,1.07,7,6,6,Yes,White,No,1,10,491021.5171,0
5,208725.8216,614.91,2,2,782.71,63.76,8,22.15,15.01,99.9,1.88,4,4,6,No,Blue,No,2,28,142189.9214,0
6,394620.5868,550,1,1,317.82,62.92,4,141.84,19.99,94.52,0.97,1,2,3,No,Blue,Yes,1,13,252727.7574,1
7,126925.7731,550,1,5,286.36,53.45,3,75.62,34.53,84.64,1.67,1,5,6,Yes,Green,No,1,12,65149.99911,0
8,229853.3099,550,1,1,376.66,10.75,5,36.14,5.5,93.48,2.14,1,5,1,Yes,Red,No,1,9,102046.909,1
9,151577.0948,550,2,1,1489.33,39.66,5,8.38,40.11,98.16,0.65,1,6,4,No,Blue,No,1,21,111144.4728,0
10,200818.954,1068.3,1,3,629.24,38.4,4,24.07,22.23,91.87,2.2,6,8,6,No,Blue,No,1,17,193122.5853,0
11,357035.4249,1201.84,3,2,1209.03,49.9,5,27.26,10.94,90.36,1.5,8,9,9,No,Green,Yes,2,34,268943.0146,1
12,463808.856,1337.43,3,4,955.18,20.59,8,32.28,3.17,89.72,0.82,8,6,4,Yes,Blue,Yes,2,6,536039.3908,1
13,313945.7134,738.56,2,3,493.17,9.32,6,34.11,24.19,98.25,2.1,6,9,6,No,Red,No,1,5,193268.1435,1
14,165031.6016,695.79,3,2,83.24,47.32,6,47.77,7.97,93.74,1.44,4,4,4,No,Green,No,1,6,79052.54416,0
15,256587.6562,550,1,3,283.41,49.39,4,67.51,31.51,88.31,2.36,5,1,4,No,Yellow,Yes,1,15,186543.244,0
16,398669.8832,1912.38,3,4,507.06,41.58,10,27.11,14.38,96.4,1.05,6,8,7,No,Red,No,1,16,486523.6679,1
17,323380.2074,859.83,3,3,708.09,21.88,8,23.49,11.97,91.77,0.68,5,5,4,No,Green,No,1,16,279680.2035,1
18,448203.1313,1513.03,2,4,529.1,28.46,9,26.41,19.34,91.63,2.45,8,10,9,No,Red,Yes,1,23,476128.3479,0
19,352825.9544,660.82,4,5,347.39,5.77,7,2.58,23.43,99.9,1.89,6,3,6,No,Blue,No,1,11,646336.6601,1
20,545962.0806,1835.88,2,4,491.31,46.18,8,95.53,15.05,87.67,0.71,5,6,6,No,White,No,1,8,541756.8039,1
21,149533.4247,550,2,4,697.31,36.49,6,30.3,23.89,84.98,0.67,3,5,3,No,White,No,1,8,73425.08501,0
22,264441.7319,1336.19,1,4,305.2,53.4,8,72.88,32.06,94.68,1.07,3,2,4,No,White,Yes,1,16,263213.226,0
23,238200.4947,1814.94,1,4,482.49,13.44,7,46.63,23.18,93.48,1.18,4,1,5,No,Green,Yes,1,21,419202.6282,0
24,135171.2247,946.9,1,3,596.87,25.8,6,120.73,26.67,97.35,1.82,1,5,5,Yes,Yellow,Yes,2,28,38906.05314,0
25,229353.9442,1352.52,2,2,459.03,48.95,7,21.52,20.02,99.9,1.64,8,3,10,No,Red,No,1,7,194836.3861,0
26,139404.3725,976.2,1,2,34.11,53.63,7,56.83,21.91,93.36,2.26,6,3,8,No,Yellow,Yes,2,56,79444.95455,0
27,118318.5553,550,1,3,496.46,17.29,3,114.72,22.01,92.34,1.93,3,6,9,Yes,Yellow,No,1,21,4747.917512,0
28,197581.5547,708.19,1,3,139.15,5.39,9,28.68,16.1,91.08,1.45,4,8,6,No,White,No,1,8,100437.2396,0
29,429178.0547,935.84,2,5,480.78,14.04,8,85.05,9.29,85.7,1.42,3,4,3,No,Blue,No,1,0,421672.4877,1
30,156375.4648,550,2,3,200.61,46.26,3,62.18,37.1,88.73,0.96,2,6,6,No,White,Yes,1,3,64295.43476,0
31,129388.2699,550,2,2,902.1,39.23,2,60.25,44.37,92.14,3.19,2,4,5,No,Red,Yes,1,20,40163.16733,0
32,282855.1167,550,2,3,135.08,39.45,5,28.71,30.42,99.9,1.78,8,7,8,No,Red,Yes,1,19,149549.2599,1
33,171418.0448,1272.98,1,1,439.48,44.4,4,104.43,10.51,92.81,1.99,3,3,6,No,White,No,2,25,85252.91224,0
34,356250.7195,1881.78,3,2,31.56,5.18,10,48.85,10.23,93.98,1.07,7,4,4,Yes,Blue,No,1,10,432153.303,0
35,459577.8498,1061.97,2,5,333.14,31.09,8,7.25,34.39,91.82,1.7,7,5,9,No,Green,No,1,8,482118.338,1
36,474262.431,1477.56,4,4,1071.19,25.58,8,44.02,23.52,99.9,1.25,6,4,4,Yes,White,No,1,12,479802.0439,1
37,551271.1624,1259.78,3,4,550.08,54.61,8,68.01,27.13,91.41,1.57,6,2,1,Yes,Yellow,Yes,1,11,433461.4675,1
38,143197.3936,1225.68,2,2,277.91,50.76,8,126.53,4.78,94.75,0.92,3,4,5,No,White,No,1,26,104629.9954,0
39,220449.0188,641.92,2,4,728.7,1.13,9,92.3,15.02,99.07,1.51,6,4,6,No,Blue,No,1,4,387841.7319,0
40,183257.9263,1067.69,1,3,313.38,26.3,7,40.59,1.02,85.43,0.92,2,1,6,No,Green,Yes,1,15,141880.7505,0
